meter_id,billing_period_start,billing_period_end,consumption_kwh,demand_kw,tariff_code,amount_inr,site_name
MTR-001,2024-01-18,2024-02-17,12000,45,IND-STD,98400.00,Chennai Plant
MTR-001,2024-02-18,2024-03-17,11500,42,IND-STD,94300.00,Chennai Plant
MTR-001,2024-03-18,2024-04-17,15000,50,IND-STD,123000.00,Chennai Plant
MTR-002,2024-01-15,2024-02-14,5000,20,COM-STD,45000.00,Bangalore Office
MTR-002,2024-02-15,2024-03-14,5200,21,COM-STD,46800.00,Bangalore Office
MTR-002,2024-03-15,2024-04-14,80000,30,COM-STD,720000.00,Bangalore Office
MTR-001,2024-04-18,2024-05-17,13000,45,IND-STD,106600.00,Chennai Plant
MTR-001,2024-05-18,2024-06-17,14000,48,IND-STD,114800.00,Chennai Plant
MTR-001,2024-06-18,2024-07-17,12500,44,IND-STD,102500.00,Chennai Plant
MTR-002,2024-04-15,2024-05-14,5500,22,COM-STD,49500.00,Bangalore Office
MTR-002,2024-05-15,2024-06-14,6000,23,COM-STD,54000.00,Bangalore Office
MTR-002,2024-06-15,2024-07-14,5800,22,COM-STD,52200.00,Bangalore Office
